parameter	maxlik	mean	median	95 lower	95 upper
beta	2.852814880355847e-07	3.108695266748659e-07	3.032575853037065e-07	1.4857704427993266e-07	7.960271344787575e-07
tau_L	11.956664799030548	6.649160081555496	7.402725771588879	1.9361695524907525	16.769550371618465
tau_I	4.495365270937749	10.477469394240348	11.135941324772944	1.1228099013291606	85.51306450133688
p	309427.4280041035	151051.94281782498	126528.25318509409	38473.87464805104	1179610.69106885
omega_0	0.62451766164674	0.6272273101052697	0.6333684278401296	0.410382176097424	0.860040575931186
IC_50	0.2565283431573387	0.2664177112542284	0.26457458786815996	0.18564039158009993	0.40120639119136947
N_eps	0.8614131096128859	0.8730399078727223	0.8694867011690942	0.7190833534057789	1.0889810095698411
n_L	4	24	24	2	48
