parameter	maxlik	mean	median	95 lower	95 upper
beta	6.661488093194803e-07	8.069931830923511e-07	7.514286561109842e-07	2.37843180600928e-07	3.869381113700764e-06
tau_L	11.494386234427445	12.10342643731876	11.839056038376834	4.802516924534452	30.71396485514843
tau_I	9.283305800661937	9.690612492864583	10.18094273232249	1.1393416117316923	82.16404418171004
p	109684.65318000791	122071.27083097985	105562.02202335346	27079.44808504496	934148.7293235757
omega_0	0.47596562373971496	0.4577128397308785	0.46517140705364685	0.2716072236338264	0.6666706379896298
IC_50	0.11491484414658087	0.1115415607718167	0.11251110638273475	0.05604268913124968	0.22945341415214776
N_eps	0.8629105861680271	0.8912185787680019	0.8885994590128777	0.741926286180947	1.1104800550044387
n_L	20	21	19	3	48
