parameter	maxlik	mean	median	95 lower	95 upper
beta	7.280145934085112e-07	7.612561559781484e-07	7.500683494876196e-07	2.9662785975444647e-07	2.28642325492635e-06
tau_L	22.59671833552126	14.487617643014959	13.36234193373687	7.162665333237767	44.05591262274094
tau_I	2.925149162271947	12.112579238301496	13.354883049282526	1.3020845378315011	83.3816294431976
p	515494.93030186027	146528.08346324565	117684.89269855239	38999.85823334445	1259931.7017971226
omega_0	0.536012863598835	0.5390745907140999	0.5410311115638012	0.37103668757042496	0.7595501589725059
IC_50	0.20652880768800885	0.22101123148858506	0.21998081609826084	0.16373087390341012	0.30917973257512893
N_eps	1.0263977825292379	1.0325035164203387	1.039478347577379	0.8310928835443279	1.232134157056742
n_L	5	20	15	3	48
